ID,Hoverflyrichness,Cranefliesrichness,Mothrichness,Source,X,stemDensityHA,dbhMean,dbhSD,bl500_m,aw500_m,nearestBL,nearestAW,area_m,area_ha,Age,Type
56429,0,0,0,WrEN,39,2014,19.2,0,0,0,318,NA,18839.26202,1.883926202,50,PL
182014,2,2,0,WrEN,14,1531,14.2,0,0.02,0,210,NA,19583.11468,1.958311468,10,PL
182458,1,5,0,WrEN,15,296,46.8,0,0.05,0,115,935,13062.97511,1.306297511,90,PL
183278,6,11,0,WrEN,16,333,46.3,0,0.02,0,227,NA,37538.83055,3.753883055,50,PL
183479,0,0,0,WrEN,17,355,54.4,0,0.06,0,20,NA,9519.807258,0.951980726,60,PL
186253,1,7,0,WrEN,18,1321,18.5,0,0.01,0,123,NA,6940.702404,0.69407024,20,PL
186449,0,2,0,WrEN,19,629,34.6,0,0.01,0,350,763,8104.097549,0.810409755,110,PL
186460,0,0,0,WrEN,20,973,21.5,0,0,0,648,NA,21712.26771,2.171226771,80,PL
186969,0,5,0,WrEN,21,757,21.6,0,0,0,608,NA,13784.51846,1.378451846,20,PL
187270,3,3,0,WrEN,22,737,32.7,0,0.06,0,145,423,20296.02491,2.029602491,60,PL
187943,2,4,0,WrEN,23,398,34.4,0,0.03,0,200,NA,46744.81947,4.674481947,110,PL
188912,2,4,0,WrEN,24,1187,24,0,0.04,0,94,NA,26644.20362,2.664420362,110,PL
189455,1,3,0,WrEN,25,398,25.6,0,0.06,0,21,875,112410.8965,11.24108965,30,PL
189594,0,5,0,WrEN,26,527,20.4,0,0.05,0,118,NA,51558.58828,5.155858828,110,PL
189646,1,1,0,WrEN,27,2115,14.1,0,0.06,0,147,NA,198161.4535,19.81614535,20,PL
189934,0,0,0,WrEN,28,906,25,0,0.02,0,10,NA,35440.62826,3.544062826,40,PL
190325,2,7,0,WrEN,29,230,24.4,0,0.12,0.03,10,191,25891.7185,2.58917185,20,PL
190457,0,0,0,WrEN,30,709,23.9,0,0.05,0,143,843,134703.4552,13.47034552,110,PL
190783,1,4,0,WrEN,31,1662,16.2,0,0.04,0,195,NA,24259.46487,2.425946487,20,PL
191362,2,9,0,WrEN,32,290,41.3,0,0,0,581,NA,144495.0708,14.44950708,80,PL
192053,0,4,0,WrEN,33,1287,21.5,0,0.01,0,191,NA,18354.89672,1.835489672,10,PL
192417,1,5,0,WrEN,34,1832,21.4,0,0.03,0,196,NA,53597.94378,5.359794378,40,PL
192446,0,1,0,WrEN,35,639,14.2,0,0.11,0,114,495,106064.3556,10.60643556,40,PL
194918,2,8,0,WrEN,36,1176,8.1,0,0,0,429,NA,18808.8859,1.88088859,10,PL
299021,0,0,0,WrEN,37,568,26.3,0,0.02,0,225,NA,57308.01362,5.730801362,60,PL
305284,6,7,0,WrEN,38,535,23.3,0,0,0,764,NA,46267.52461,4.626752461,30,PL
WT4509,1,2,0,WrEN,41,1034,15.9,0,0.03,0,10,NA,94180.5959,9.41805959,18,PL
WT4688,3,4,0,WrEN,42,863,13.6,0,0.06,0,17,NA,318949.9694,31.89499694,15,PL
WT4691,2,3,0,WrEN,43,4063,10.8,0,0.01,0,10,NA,290863.6855,29.08636855,15,PL
WT4832,0,2,0,WrEN,44,2957,11.3,0,0.01,0,398,NA,72246.13093,7.224613093,11,PL
WT4945,0,5,0,WrEN,45,4037,11.8,0,0.01,0,10,NA,56712.19637,5.671219637,12,PL
WT4975,0,1,0,WrEN,46,1439,14,0,0,0,NA,NA,25299.41284,2.529941284,12,PL
WT5163,4,4,0,WrEN,47,1432,10.8,0,0.08,0.03,10,331,54419.04435,5.441904435,12,PL
WT5210,0,0,0,WrEN,48,2988,12,0,0.01,0,65,NA,70348.83146,7.034883146,10,PL
WT5226,1,4,0,WrEN,49,1157,12.64,0,0.03,0,50,NA,36676.84006,3.667684006,10,PL
WT5231,0,0,0,WrEN,50,2546,12.2,0,0.02,0.02,13,24,34179.37517,3.417937517,11,PL
WT5233,1,2,0,WrEN,51,1092,8.2,0,0.01,0,154,NA,63368.46914,6.336846914,10,PL
WT5291,3,2,0,WrEN,52,330,8.8,0,0.09,0.11,123,227,45134.5181,4.51345181,10,PL
CH-EW-0510-LANG,2,0,3,NC,97,1561,18.4,9.9,0.1,0.02,76,76,61765.97549,6.176597549,250,Mature
CH-EWPL-1020-HUC1,3,1,6,NC,105,1688,17,14.1,0.51,0.3,10,79,10840.29024,1.084029024,250,Mature
CH-EW-1020-HUC3,0,1,3,NC,98,2389,11.6,11.3,0.68,0.37,10,10,24447.42342,2.444742342,250,Mature
CH-NC-0510-LANG,4,0,14,NC,110,127,0,0,0.12,0.04,10,10,49921.53625,4.992153625,8,NC
CH-NC-1020-HUC1,10,1,12,NC,111,5637,11.8,4.4,0.56,0.33,10,10,17728.41412,1.772841412,12,NC
CH-NC-1020-HUC3,5,0,6,NC,112,7611,12.3,3.3,0.72,0.43,10,10,5811.312596,0.58113126,20,NC
CH-NC-2030-BLAC,9,1,18,NC,113,350,7.6,0.5,0.32,0.21,10,10,46440.82557,4.644082557,25,NC
CH-NC-2030-FAMN,5,0,8,NC,115,5701,11.7,4.3,0.56,0.42,10,10,67078.4459,6.70784459,25,NC
CH-NC-6000-FAM2,0,0,7,NC,117,3917,12.7,6.6,0.51,0.37,10,10,16668.21187,1.666821187,120,NC
CH-PL-0510-LANG,3,0,13,NC,118,159,0,0,0.11,0.04,10,10,59712.47669,5.971247669,8,NC
CH-PL-1020-HUC3,1,0,3,NC,120,12739,11.9,3.7,0.61,0.37,10,10,39261.20789,3.926120789,20,NC
CH-PL-1020-HUC1,2,1,10,NC,119,7707,13.2,5.6,0.54,0.32,10,10,9297.840056,0.929784006,12,NC
CH-PL-2030-BLAC,2,0,9,NC,NA,NA,NA,NA,0.32,0.13,10,15,17903.53259,1.790353259,25,NC
CH-PL-2030-FAMN,0,0,3,NC,122,4682,16.8,8.3,0.2,0.05,10,236,20284.62875,2.028462875,25,NC
CH-PL-6000-FAM2,0,0,4,NC,124,7962,12.9,4.5,0.17,0.11,10,202,14531.64156,1.453164156,74,NC
EA-NC-1020-SUGL,3,0,7,NC,136,1338,9.5,4.4,0.23,0.2,10,10,99998.23168,9.999823168,18,NC
EA-NC-2030-ARG1,6,0,4,NC,137,1242,13.6,7.1,0.17,0.17,10,10,172975.5753,17.29755753,18,NC
EA-NC-3040-WIL3,0,0,8,NC,139,7006,11.1,4.2,0.35,0.37,10,16,16173.25411,1.617325411,37,NC
EA-PL-1020-SUGL,4,0,2,NC,142,318,5.9,6.6,0.32,0.3,10,10,72853.13192,7.285313192,18,NC
EA-PL-2030-ARG1,3,1,1,NC,143,2771,13.4,5.3,0.17,0.06,10,23,43281.80671,4.328180671,19,NC
EA-PL-3040-WIL3,0,0,1,NC,144,5223,17.3,5.6,0.18,0,10,NA,28609.73173,2.860973173,33,NC
WE-NC-2030-CHUR,1,1,1,NC,165,7070,10.5,4.3,0.17,0,10,NA,15392.01118,1.539201118,25,NC
EA-EWNC-1020-SUGL,0,0,1,NC,125,2006,15.8,10.4,0.24,0.22,10,10,81904.4962,8.19044962,250,Mature
WE-EWNC-1020-SWAN,1,0,3,NC,158,605,23.5,17.9,0.41,0.06,10,227,39632.16683,3.963216683,250,Mature
EA-EWNC-2030-ARG1,4,0,3,NC,126,924,23.1,13.1,0.15,0.13,10,10,81989.33923,8.198933923,250,Mature
CH-EWNC-2030-BLAC,5,1,7,NC,101,1465,15.3,15.7,0.23,0.11,10,10,102748.5933,10.27485933,250,Mature
CH-EWNC-2030-FAMN,2,0,1,NC,103,796,32.8,19.5,0.66,0.48,10,10,53071.2821,5.30712821,250,Mature
SE-EWNC-2030-OLDP,1,0,4,NC,148,3535,16.5,6.2,0.35,0.42,10,10,52018.30803,5.201830803,250,Mature
EA-EWNC-3040-WIL3,1,0,4,NC,128,1911,22.6,13,0.39,0.36,10,10,40808.11605,4.080811605,250,Mature
WE-EWNC-3040-WYTH,6,0,2,NC,160,573,29.4,34.6,0.38,0.37,10,10,34485.42191,3.448542191,250,Mature
CH-EWNC-6000-FAM2,3,0,6,NC,104,669,26.6,23.2,0.52,0.33,10,10,48980.8657,4.89808657,250,Mature
EA-EWPL-1020-SUGL,1,0,3,NC,131,1210,20.5,14.5,0.01,0,10,NA,538465.1669,53.84651669,250,Mature
WE-EWPL-1020-SWAN,3,0,1,NC,161,478,26.2,18.2,0.45,0.09,10,123,18879.02628,1.887902628,250,Mature
EA-EWPL-2030-ARG1,0,0,0,NC,NA,NA,NA,NA,0.11,0.03,10,10,59607.75237,5.960775237,250,Mature
CH-EWPL-2030-BLAC,2,0,7,NC,106,955,21.9,15,0.33,0.14,10,10,20159.24747,2.015924747,250,Mature
WE-EWPL-2030-CHUR,2,0,2,NC,162,1178,20.5,15.8,0.33,0,10,NA,25914.84108,2.591484108,250,Mature
CH-EWPL-2030-FAMN,0,0,7,NC,108,1592,17,11.8,0.19,0.03,10,328,10163.00256,1.016300256,250,Mature
SE-EWPL-2030-OLDP,0,0,5,NC,150,828,18.7,11.3,0.15,0.02,10,10,20995.55848,2.099555848,250,Mature
EA-EWPL-3040-WIL3,1,0,1,NC,132,637,41.6,29.7,0.19,0,10,NA,20886.25655,2.088625655,250,Mature
WE-EWPL-3040-WYTH,1,0,2,NC,163,669,26.3,32.5,0.52,0.44,10,10,24744.78343,2.474478343,250,Mature
CH-EWPL-6000-FAM2,0,0,3,NC,109,3057,12.8,5.9,0.17,0.12,10,228,37367.41771,3.736741771,250,Mature
SE-EW-1020-COMF,2,0,6,NC,147,1433,22.4,16.2,0.21,0.03,10,10,15225.38877,1.522538877,250,Mature
SE-EW-1020-VICT,0,0,7,NC,NA,NA,NA,NA,0.23,0.23,10,10,72758.57198,7.275857198,250,Mature
SE-NC-1020-COMF,10,1,10,NC,152,64,0,0,0.22,0.03,10,10,5388.266846,0.538826685,18,NC
SE-NC-1020-VICT,12,0,19,NC,NA,NA,NA,NA,0.11,0.11,10,10,39620.64232,3.962064232,18,NC
SE-NC-2030-OLDP,10,2,8,NC,153,1529,11.2,5.1,0.26,0.28,10,10,14236.50093,1.423650093,33,NC
SE-PL-1020-COMF,9,1,6,NC,155,1561,8.4,1.1,0.24,0.06,10,10,37052.27006,3.705227006,17,NC
SE-PL-1020-VICT,7,0,2,NC,NA,NA,NA,NA,0.14,0.13,10,10,15653.79926,1.565379926,18,NC
SE-PL-2030-OLDP,2,0,5,NC,156,7293,15.4,5.1,0.09,0.03,10,10,84939.5069,8.49395069,35,NC
WE-NC-2030-CHUR,4,1,3,NC,165,7070,10.5,4.3,0.17,0,10,NA,15392.01118,1.539201118,25,NC
WE-NC-3040-WYTH,2,0,5,NC,166,2834,12.4,4.3,0.41,0.4,10,10,6298.29835,0.629829835,60,NC
WE-PL-2030-CHUR,0,1,1,NC,168,5032,12.9,4.3,0.4,0,10,NA,8164.988879,0.816498888,25,NC
WE-NC-1020-SWAN,0,2,0,NC,164,7707,11.6,3.6,0.43,0.05,10,246,19347.75545,1.934775545,20,NC
WE-PL-3040-WYTH,0,0,2,NC,169,2229,29.7,14.4,0.6,0.51,10,10,19121.40975,1.912140975,60,NC
WE-PL-1020-SWAN,1,0,3,NC,167,6656,11.1,3.1,0.4,0.08,10,160,11007.12573,1.100712573,20,NC
